Temps (s);Direction;Mod. source;Ser. source;Mod. dest;Ser. dest;ID message;Donnee 1;Donnee 2
0.000000000;IN;NUC;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.906892;0
0.100000000;IN;ADLM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
0.200000000;IN;AGRUM;1;ALL_MODULES;ALL_SERIAL_NBS;CURRENT_FATTIME;1255693984;3300317304
0.300000000;IN;ADLM;1;ALL_MODULES;ALL_SERIAL_NBS;COMMAND_REQ_MOD_POS_NB;0;0
0.400000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86472.0;2390151
0.500000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86496.0;2390139
0.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.94137;0
0.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.906792;0
0.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT;0;0
0.900000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86482.0;2390156
1.000000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86498.0;2390159
1.100000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Y;0.22894287109375;2390100
1.200000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_X;-0.03173828125;2390100
1.300000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Y;-0.04638671875;2390100
1.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.94237;0
1.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90669199999999;0
1.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000
1.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Z;0.72265625;2390100
1.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_X;-0.00146484375;2390169
1.900000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_Z;0.9912109375;2390169
2.000000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Z;0.07598876953125;2390100
2.100000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_X;-16.65423583984375;2390170
2.200000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.943369999999994;0
